Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,49.529999,51.119999,49.529999,50.630001,46.810238,1476900
2019-07-04,51.180000,51.500000,50.619999,51.169998,47.309490,942700
2019-07-05,51.189999,51.290001,50.360001,50.700001,46.874950,1073600
2019-07-08,51.290001,51.490002,50.560001,50.700001,46.874950,1105400
2019-07-10,50.810001,52.500000,50.810001,52.000000,48.076878,2419400
2019-07-11,51.889999,52.970001,51.720001,52.400002,48.446697,2584800
2019-07-12,52.540001,52.770000,52.090000,52.090000,48.160088,1714100
2019-07-15,52.430000,53.869999,52.119999,53.700001,49.648617,2448600
2019-07-16,54.000000,54.340000,53.590000,54.139999,50.055420,2064700
2019-07-17,54.130001,54.630001,54.000000,54.000000,49.925980,2523700
2019-07-18,54.130001,54.139999,53.520000,53.689999,49.639370,1170700
2019-07-19,53.570000,53.930000,53.439999,53.750000,49.694847,1727700
2019-07-22,54.000000,54.060001,53.450001,53.599998,49.556156,1921100
2019-07-23,53.820000,54.270000,53.439999,53.500000,49.463707,1277100
2019-07-24,53.490002,53.939999,52.820000,53.720001,49.667114,1798800
2019-07-25,53.610001,53.650002,52.240002,52.700001,48.724064,1638700
2019-07-26,52.639999,52.849998,52.220001,52.220001,48.280277,1309600
2019-07-29,52.230000,52.810001,51.980000,52.700001,48.724064,1740700
2019-07-30,52.500000,52.880001,52.250000,52.470001,48.511414,1621900
2019-07-31,52.680000,52.799999,51.820000,52.299999,48.354240,2473300
2019-08-01,52.299999,52.980000,51.619999,52.439999,48.483673,2735900
2019-08-02,52.240002,52.799999,52.020000,52.799999,48.816517,1469900
2019-08-05,52.099998,52.299999,51.529999,51.660000,47.762524,1570200
2019-08-06,52.040001,52.889999,51.759998,52.509998,48.548393,2507900
2019-08-07,52.240002,53.410000,52.020000,53.119999,49.112377,2118400
2019-08-08,53.590000,53.590000,52.880001,53.259998,49.241806,1990800
2019-08-09,53.500000,53.500000,52.400002,52.400002,48.446697,1731800
2019-08-12,51.349998,52.240002,51.040001,51.849998,47.938187,974400
2019-08-13,51.439999,52.720001,51.240002,52.250000,48.308010,955400
2019-08-14,51.439999,51.869999,51.000000,51.240002,47.374218,1766400
2019-08-15,51.400002,52.700001,51.090000,51.669998,47.771767,2893300
2019-08-16,52.060001,52.930000,52.049999,52.910000,48.918213,1625100
2019-08-19,53.130001,53.290001,52.209999,52.410000,48.455940,1055000
2019-08-20,52.610001,53.750000,52.090000,53.099998,49.093880,1652200
2019-08-21,53.500000,53.660000,52.810001,53.590000,49.546917,1058000
2019-08-22,53.430000,53.639999,52.599998,52.599998,48.631599,1029900
2019-08-23,52.439999,52.709999,51.840000,52.200001,48.261784,1130500
2019-08-26,52.200001,52.520000,51.080002,51.099998,47.244770,1531500
2019-08-27,50.970001,52.310001,50.970001,51.650002,47.753281,2233500
2019-08-28,51.130001,52.419998,50.389999,52.200001,48.261784,1451500
2019-08-29,52.230000,52.669998,51.869999,52.240002,48.298763,1043700
2019-08-30,52.770000,53.990002,52.250000,53.669998,49.620876,2064700
2019-09-02,53.650002,55.230000,53.500000,54.330002,50.231087,1578900
2019-09-03,54.340000,54.779999,53.759998,54.060001,49.981457,1193200
2019-09-04,54.599998,55.340000,53.930000,55.000000,50.850533,1637200
2019-09-05,55.380001,55.889999,54.939999,55.639999,51.442253,1592200
2019-09-06,55.869999,55.869999,54.410000,54.650002,50.526943,1724400
2019-09-09,54.650002,54.959999,52.980000,52.990002,48.992180,2943500
2019-09-10,53.009998,53.500000,52.480000,52.560001,48.594624,2192400
2019-09-11,52.740002,53.500000,52.590000,53.400002,49.371254,2006800
2019-09-12,54.869999,55.209999,53.279999,53.549999,49.509933,1848600
2019-09-13,53.470001,53.470001,51.810001,51.810001,47.901207,2785000
2019-09-16,52.020000,53.000000,51.849998,52.500000,48.539150,1781000
2019-09-17,52.500000,53.669998,52.020000,53.669998,49.620876,1381700
2019-09-18,53.299999,53.790001,53.000000,53.439999,49.408230,836600
2019-09-19,53.709999,54.599998,53.669998,54.240002,50.147877,968600
2019-09-20,54.500000,54.689999,53.990002,54.520000,50.406754,2618600
2019-09-23,54.439999,54.439999,53.560001,54.000000,49.925980,975400
2019-09-24,54.000000,54.400002,53.630001,53.980000,49.907490,1042900
2019-09-25,53.910000,54.259998,53.529999,54.259998,50.166363,1139600
2019-09-26,53.930000,54.700001,53.639999,54.450001,50.342037,952500
2019-09-27,54.450001,54.959999,54.299999,54.959999,50.813557,772300
2019-09-30,54.980000,55.380001,54.610001,54.939999,50.795067,1574100
2019-10-01,54.660000,54.980000,53.689999,53.919998,49.852016,2235200
2019-10-02,53.459999,53.689999,52.580002,52.580002,48.613113,1059500
2019-10-03,52.610001,52.990002,52.410000,52.509998,48.548393,860400
2019-10-04,52.759998,53.939999,52.410000,53.500000,49.463707,1886300
2019-10-07,53.200001,53.470001,52.590000,52.590000,48.622360,1295800
2019-10-08,52.759998,53.259998,52.500000,52.799999,48.816517,1281800
2019-10-09,53.020000,53.200001,52.400002,53.000000,49.001427,866900
2019-10-10,53.080002,54.160000,53.070000,53.130001,49.121616,1591200
2019-10-11,54.029999,54.250000,53.380001,53.470001,49.435970,1229400
2019-10-14,53.560001,53.990002,53.209999,53.320000,49.297283,665500
2019-10-15,53.320000,54.040001,53.160000,53.500000,49.463707,1118500
2019-10-16,53.540001,55.060001,53.349998,54.630001,50.508453,1668200
2019-10-17,54.639999,55.150002,54.400002,55.049999,50.896767,1054900
2019-10-18,55.099998,55.279999,54.410000,54.860001,50.721104,686500
2019-10-21,55.000000,55.060001,54.389999,54.709999,50.582417,823600
2019-10-22,54.730000,55.189999,54.220001,54.619999,50.499203,1129400
2019-10-23,54.349998,54.959999,54.150002,54.209999,50.120136,1306900
2019-10-24,54.160000,54.520000,53.849998,53.910000,49.842770,1259800
2019-10-25,54.130001,54.250000,53.299999,53.599998,49.556156,1245500
2019-10-28,53.720001,53.810001,53.230000,53.299999,49.278793,1213900
2019-10-29,53.410000,53.500000,52.869999,53.200001,49.186337,888600
2019-10-30,53.000000,53.520000,53.000000,53.240002,49.223324,965100
2019-10-31,53.250000,53.430000,52.500000,53.080002,49.075397,1728100
2019-11-01,53.299999,53.520000,52.849998,53.360001,49.334270,886800
2019-11-04,53.500000,54.340000,53.310001,53.750000,49.694847,1267000
2019-11-05,53.770000,54.070000,52.619999,53.029999,49.029167,2278900
2019-11-06,52.910000,54.660000,52.910000,54.560001,50.443733,2841100
2019-11-07,54.779999,54.779999,54.250000,54.500000,50.388260,1010300
2019-11-08,54.220001,54.439999,53.849998,54.000000,49.925980,1828800
2019-11-11,53.810001,54.099998,53.400002,53.959999,49.888996,1156100
2019-11-12,53.689999,54.310001,53.369999,54.000000,49.925980,1424500
2019-11-13,53.730000,54.360001,53.650002,53.790001,49.731831,1595300
2019-11-14,53.810001,55.119999,53.709999,54.889999,50.748837,1538300
2019-11-18,55.230000,56.430000,55.230000,56.110001,51.876797,1460800
2019-11-19,56.209999,56.209999,55.500000,55.779999,51.571690,1628500
2019-11-21,56.049999,56.099998,54.709999,55.200001,51.035446,2212600
2019-11-22,55.299999,55.540001,54.880001,55.400002,51.220360,1174600
2019-11-25,55.380001,55.919998,54.740002,55.650002,51.451504,956000
2019-11-26,54.950001,55.450001,54.119999,54.119999,50.036926,2916300
2019-11-27,54.599998,55.169998,54.119999,55.150002,50.989223,1225500
2019-11-28,55.099998,56.270000,54.849998,56.099998,51.867546,827400
2019-11-29,56.349998,56.840000,55.799999,56.250000,52.006233,1520800
2019-12-02,57.200001,57.259998,55.630001,56.169998,51.932266,2010800
2019-12-03,56.340000,56.480000,55.590000,55.750000,51.543953,1196500
2019-12-04,55.980000,56.570000,55.660000,56.250000,52.006233,1118100
2019-12-05,56.250000,56.849998,55.889999,56.560001,52.292847,932800
2019-12-06,56.529999,57.320000,56.369999,56.860001,52.570210,916100
2019-12-09,56.700001,57.279999,56.369999,56.930000,52.634933,1205100
2019-12-10,56.639999,57.020000,55.320000,56.750000,52.468510,1537300
2019-12-11,56.610001,56.930000,55.630001,55.950001,51.728867,2069600
2019-12-12,56.009998,56.270000,55.779999,55.810001,51.599430,1221100
2019-12-13,56.000000,56.490002,55.840000,56.330002,52.080196,1365700
2019-12-16,56.470001,57.770000,56.470001,56.630001,52.357559,1169000
2019-12-17,56.410000,57.680000,56.410000,56.869999,52.579453,998600
2019-12-18,56.680000,57.380001,56.419998,57.060001,52.755123,3776700
2019-12-19,56.880001,57.340000,56.759998,57.240002,52.921539,1701900
2019-12-20,57.500000,58.049999,57.160000,57.860001,53.494766,2989400
2019-12-23,58.049999,58.380001,57.610001,58.380001,53.975540,1946100
2019-12-26,58.380001,59.139999,58.009998,58.889999,54.447063,987200
2019-12-27,59.099998,59.529999,58.480000,58.480000,54.067986,1609700
2019-12-30,58.930000,58.930000,57.869999,57.980000,53.605713,1606900
2020-01-02,57.419998,57.419998,56.560001,57.209999,53.657024,1682000
2020-01-03,56.799999,57.720001,56.400002,57.720001,54.135353,1912900
2020-01-06,57.430000,57.560001,56.369999,56.830002,53.300625,1768700
2020-01-07,57.060001,57.290001,56.419998,56.950001,53.413174,1254100
2020-01-08,57.180000,57.750000,56.689999,56.689999,53.169315,1587400
2020-01-09,56.700001,57.139999,56.209999,56.619999,53.103664,1416800
2020-01-10,56.980000,57.619999,56.810001,57.310001,53.750816,991100
2020-01-13,57.570000,58.740002,57.090000,58.689999,55.045109,1992200
2020-01-14,58.680000,58.680000,57.820000,58.450001,54.820019,1091700
2020-01-15,57.880001,58.299999,57.509998,58.110001,54.501129,1819400
2020-01-16,58.509998,59.720001,58.509998,59.509998,55.814186,3021800
2020-01-17,59.759998,59.980000,59.270000,59.619999,55.917358,1574800
2020-01-20,59.549999,60.419998,59.009998,60.419998,56.667671,796300
2020-01-21,60.119999,60.820000,59.740002,60.430000,56.677048,1907000
2020-01-22,60.700001,61.320000,60.700001,61.279999,57.474262,2253300
2020-01-23,61.279999,61.279999,60.160000,60.580002,56.817734,2316900
2020-01-24,60.270000,60.830002,59.939999,59.939999,56.217484,995600
2020-01-27,59.700001,61.119999,59.189999,60.439999,56.686424,1713600
2020-01-28,60.439999,61.250000,60.090000,61.000000,57.211651,1141100
2020-01-29,61.049999,61.369999,60.509998,60.599998,56.836491,2032500
2020-01-30,59.770000,60.099998,59.070000,59.869999,56.151825,1494600
2020-01-31,59.630001,59.860001,58.900002,59.389999,55.701641,2307800
2020-02-03,59.590000,60.959999,59.480000,60.259998,56.517609,1196800
2020-02-04,61.130001,61.599998,60.599998,61.000000,57.211651,1371700
2020-02-05,61.759998,62.000000,60.639999,60.849998,57.070965,1945100
2020-02-06,61.849998,61.849998,59.939999,60.200001,56.461334,1403300
2020-02-07,60.099998,60.189999,59.310001,59.790001,56.076797,1275300
2020-02-10,59.799999,59.910000,58.919998,59.090000,55.420273,1805100
2020-02-11,59.099998,59.820000,58.930000,59.439999,55.748535,1753300
2020-02-12,59.720001,60.639999,59.470001,60.290001,56.545750,2773900
2020-02-13,59.910000,60.340000,59.459999,59.970001,56.245621,1124900
2020-02-14,59.740002,60.000000,58.419998,58.419998,54.791878,1162700
2020-02-17,58.700001,59.200001,57.959999,58.200001,54.585548,1358200
2020-02-18,57.980000,58.419998,57.700001,57.779999,54.191628,2130200
2020-02-19,57.799999,58.790001,57.799999,58.369999,54.744980,1459000
2020-02-20,58.200001,58.459999,56.880001,57.200001,53.647648,1651800
2020-02-21,56.980000,57.130001,56.520000,56.849998,53.319378,1677300
2020-02-26,null,null,null,null,null,null
2020-02-27,53.500000,54.919998,53.110001,53.490002,50.168056,5327100
2020-02-28,54.020000,54.020000,51.560001,53.380001,50.064884,5338800
2020-03-02,53.509998,55.549999,53.119999,55.130001,51.866467,3065900
2020-03-03,54.000000,56.669998,54.000000,55.790001,52.487400,2728600
2020-03-04,56.570000,58.400002,56.130001,57.700001,54.284332,2477700
2020-03-05,57.459999,58.250000,56.509998,57.000000,53.625771,2763100
2020-03-06,55.250000,57.220001,54.299999,56.439999,53.098915,3594300
2020-03-09,54.500000,55.490002,52.590000,52.590000,49.476830,4346800
2020-03-10,53.049999,54.380001,51.790001,54.060001,50.859810,3862400
2020-03-11,56.599998,57.000000,52.610001,54.320000,51.104420,6119900
2020-03-12,49.000000,50.470001,47.230000,49.400002,46.475670,5006500
2020-03-13,52.029999,53.270000,47.720001,53.270000,50.116573,4699500
2020-03-16,47.209999,51.889999,47.209999,50.790001,47.783382,5456300
2020-03-17,51.180000,56.450001,51.090000,54.599998,51.367840,6405800
2020-03-18,51.939999,55.480000,50.750000,54.209999,51.000927,5884600
2020-03-19,53.099998,60.480000,51.950001,57.930000,54.500713,4859400
2020-03-20,59.000000,59.959999,52.549999,53.480000,50.314144,4324300
2020-03-23,53.099998,53.139999,47.799999,49.070000,46.165203,2718000
2020-03-24,51.660000,52.080002,47.919998,47.919998,45.083275,2727900
2020-03-25,47.470001,49.470001,46.779999,47.060001,44.274189,3419200
2020-03-26,47.599998,49.669998,47.000000,48.930000,46.033485,4321200
2020-03-27,47.599998,50.180000,47.599998,48.590000,45.713615,3747800
2020-03-30,48.599998,49.770000,47.209999,49.389999,46.466259,2504200
2020-03-31,49.139999,50.660000,49.000000,49.450001,46.522705,3600800
2020-04-01,47.860001,51.860001,47.630001,51.119999,48.183132,4006600
2020-04-02,51.070000,52.439999,50.310001,51.840000,48.861771,2147100
2020-04-03,51.650002,52.750000,49.980000,50.310001,47.419666,2659000
2020-04-06,52.400002,53.049999,51.009998,52.000000,49.012577,2065300
2020-04-07,54.080002,55.200001,51.230000,51.230000,48.286812,2877700
2020-04-08,51.029999,52.959999,50.970001,52.480000,49.465004,2014800
2020-04-09,53.599998,53.599998,50.799999,50.799999,49.137360,1866100
2020-04-13,50.590000,51.750000,50.200001,51.750000,50.056263,1099300
2020-04-14,51.980000,52.950001,51.160000,51.930000,50.230377,1951000
2020-04-15,51.090000,51.820000,50.619999,50.900002,49.234085,3269500
2020-04-16,50.759998,51.070000,48.770000,49.080002,47.473656,3707100
2020-04-17,49.770000,50.009998,47.619999,47.869999,46.303253,3121700
2020-04-20,47.799999,49.349998,47.540001,48.400002,46.815907,2264000
2020-04-22,48.029999,49.889999,48.029999,49.150002,47.541363,2429700
2020-04-23,49.360001,49.650002,47.799999,48.680000,47.086742,2674800
2020-04-24,47.799999,48.400002,44.430000,45.509998,44.020493,4730100
2020-04-27,46.500000,47.599998,45.639999,47.000000,45.461727,2695400
2020-04-28,48.750000,48.939999,46.209999,46.599998,45.074821,2760500
2020-04-29,47.000000,47.709999,45.610001,47.070000,45.529438,2848000
2020-04-30,46.490002,47.130001,45.650002,45.650002,44.155914,3896600
2020-05-04,45.049999,49.099998,45.049999,48.330002,46.748199,4498200
2020-05-05,48.520000,50.090000,48.080002,49.500000,47.879906,2921100
2020-05-06,49.689999,51.500000,48.540001,49.349998,47.734814,3482700
2020-05-07,48.820000,49.490002,47.400002,47.400002,45.848640,3206600
